cluster	gene
Fibroblast(Aorta)	Igsf10
Fibroblast(Aorta)	Lgals1
Fibroblast(Aorta)	Ugt1a6a
Fibroblast(Aorta)	Casp12
Fibroblast(Aorta)	Entpd2
Fibroblast(Aorta)	Mt2
Fibroblast(Aorta)	Eya2
Fibroblast(Aorta)	Angptl2
Fibroblast(Aorta)	B3gnt9-ps
Fibroblast(Aorta)	Ms4a4d
Fibroblast(Aorta)	Aspn
Fibroblast(Aorta)	Tmem107
Fibroblast(Aorta)	Boc
Fibroblast(Aorta)	Cyp1b1
Fibroblast(Aorta)	Thbs2
Fibroblast(Aorta)	Celf2
Fibroblast(Aorta)	Aldh7a1
Fibroblast(Aorta)	Trnp1
Fibroblast(Aorta)	Atp11a
Fibroblast(Aorta)	Epdr1
Fibroblast(Aorta)	Efs
Fibroblast(Aorta)	Dapk1
Fibroblast(Aorta)	Flnc
Fibroblast(Aorta)	Pgcp
Fibroblast(Aorta)	Il1r1
Fibroblast(Aorta)	Ecm2
Fibroblast(Aorta)	Vegfa
Fibroblast(Aorta)	Epb4.1l1
Fibroblast(Aorta)	Txndc5
Fibroblast(Aorta)	Anpep
Fibroblast(Aorta)	C4b
Fibroblast(Aorta)	Adamtsl5
Fibroblast(Aorta)	Pmepa1
Fibroblast(Aorta)	Crtap
Fibroblast(Aorta)	Nedd4
Fibroblast(Aorta)	Sema3b
Fibroblast(Aorta)	Oaf
Fibroblast(Aorta)	Nnmt
Fibroblast(Aorta)	Cbr3
Fibroblast(Aorta)	Cfh
Fibroblast(Aorta)	Mmp19
Fibroblast(Aorta)	Add3
Fibroblast(Aorta)	Tceal8
Fibroblast(Aorta)	Tgfb2
Fibroblast(Aorta)	Akt2
Fibroblast(Aorta)	Fzd1
Fibroblast(Aorta)	Igsf3
Fibroblast(Aorta)	F3
Fibroblast(Aorta)	Cp
Fibroblast(Aorta)	Mgst1
Fibroblast(Aorta)	Sec24d
Fibroblast(Aorta)	Gstm1
Fibroblast(Aorta)	Fgf10
Fibroblast(Aorta)	Csrp2
Fibroblast(Aorta)	Foxp2
Fibroblast(Aorta)	Cercam
Fibroblast(Aorta)	Nfia
Fibroblast(Aorta)	2010001M06Rik
Fibroblast(Aorta)	Il6st
