Celltype	Metagene	Immunity
Monocyte	TEX264	Innate
Monocyte	IKZF1	Innate
Naturalkillercell	AKT3	Innate
Naturalkillercell	AXL	Innate
Naturalkillercell	BST2	Innate
Naturalkillercell	CDH2	Innate
Naturalkillercell	CRTAM	Innate
Naturalkillercell	CSF2RA	Innate
Naturalkillercell	CTSZ	Innate
Naturalkillercell	CXCL1	Innate
Naturalkillercell	CYTH1	Innate
Naturalkillercell	DAXX	Innate
Naturalkillercell	DGKH	Innate
Naturalkillercell	DLL4	Innate
Naturalkillercell	DPYD	Innate
Naturalkillercell	ERBB3	Innate
Naturalkillercell	F11R	Innate
Naturalkillercell	FAM27A	Innate
Naturalkillercell	FAM49A	Innate
Naturalkillercell	FASLG	Innate
Naturalkillercell	FCGR1A	Innate
Naturalkillercell	FN1	Innate
Naturalkillercell	FSTL1	Innate
Naturalkillercell	FUCA1	Innate
Naturalkillercell	GBP3	Innate
Naturalkillercell	GLS2	Innate
Naturalkillercell	GRB2	Innate
Naturalkillercell	LST1	Innate
Naturalkillercell	BCL2	Innate
Naturalkillercell	CDC5L	Innate
Naturalkillercell	FGF18	Innate
Naturalkillercell	FUT5	Innate
Naturalkillercell	FZR1	Innate
Naturalkillercell	GAGE2	Innate
Naturalkillercell	IGFBP5	Innate
Naturalkillercell	KANK2	Innate
Naturalkillercell	LDB3	Innate
NaturalkillerTcell	BTN2A2	Innate
NaturalkillerTcell	CD101	Innate
NaturalkillerTcell	CD109	Innate
NaturalkillerTcell	CNPY3	Innate
NaturalkillerTcell	CNPY4	Innate
NaturalkillerTcell	CREB1	Innate
NaturalkillerTcell	CRTC2	Innate
NaturalkillerTcell	CRTC3	Innate
NaturalkillerTcell	CSF2	Innate
NaturalkillerTcell	KLRC1	Innate
NaturalkillerTcell	FUT4	Innate
NaturalkillerTcell	ICAM2	Innate
NaturalkillerTcell	IL32	Innate
NaturalkillerTcell	LAMP2	Innate
NaturalkillerTcell	LILRB5	Innate
NaturalkillerTcell	KLRG1	Innate
NaturalkillerTcell	HSPA4	Innate
NaturalkillerTcell	HSPB6	Innate
NaturalkillerTcell	ISM2	Innate
NaturalkillerTcell	ITIH2	Innate
NaturalkillerTcell	KDM4C	Innate
NaturalkillerTcell	KIR2DS4	Innate
NaturalkillerTcell	KIRREL3	Innate
NaturalkillerTcell	SDCBP	Innate
NaturalkillerTcell	NFATC2IP	Innate
NaturalkillerTcell	MICB	Innate
NaturalkillerTcell	KIR2DL1	Innate
NaturalkillerTcell	KIR2DL3	Innate
NaturalkillerTcell	KIR3DL1	Innate
NaturalkillerTcell	KIR3DL2	Innate
NaturalkillerTcell	NCR1	Innate
NaturalkillerTcell	FOSL1	Innate
NaturalkillerTcell	TSLP	Innate
NaturalkillerTcell	SLC7A7	Innate
NaturalkillerTcell	SPP1	Innate
NaturalkillerTcell	TREM2	Innate
NaturalkillerTcell	UBASH3A	Innate
NaturalkillerTcell	YBX2	Innate
NaturalkillerTcell	CCDC88A	Innate
NaturalkillerTcell	CLEC1A	Innate
NaturalkillerTcell	THBD	Innate
NaturalkillerTcell	PDPN	Innate
NaturalkillerTcell	VCAM1	Innate
NaturalkillerTcell	EMR1	Innate
Neutrophil	CREB5	Innate
Neutrophil	CDA	Innate
Neutrophil	CHST15	Innate
Neutrophil	S100A12	Innate
Neutrophil	APOBEC3A	Innate
Neutrophil	CASP5	Innate
Neutrophil	MMP25	Innate
Neutrophil	HAL	Innate
Neutrophil	C1orf183	Innate
Neutrophil	FFAR2	Innate
Neutrophil	MAK	Innate
Neutrophil	CXCR1	Innate
Neutrophil	STEAP4	Innate
Neutrophil	MGAM	Innate
Neutrophil	BTNL8	Innate
Neutrophil	CXCR2	Innate
Neutrophil	TNFRSF10C	Innate
Neutrophil	VNN3	Innate
Plasmacytoiddendriticcell	CBX6	Innate
Plasmacytoiddendriticcell	DAB2	Innate
Plasmacytoiddendriticcell	DDX17	Innate
Plasmacytoiddendriticcell	HIGD1A	Innate
Plasmacytoiddendriticcell	IDH3A	Innate
Plasmacytoiddendriticcell	IL3RA	Innate
Plasmacytoiddendriticcell	MAGED1	Innate
Plasmacytoiddendriticcell	NUCB2	Innate
Plasmacytoiddendriticcell	OFD1	Innate
Plasmacytoiddendriticcell	OGT	Innate
Plasmacytoiddendriticcell	PDIA4	Innate
Plasmacytoiddendriticcell	SERTAD2	Innate
Plasmacytoiddendriticcell	SIRPA	Innate
Plasmacytoiddendriticcell	TMED2	Innate
Plasmacytoiddendriticcell	ENG	Innate
Plasmacytoiddendriticcell	FCAR	Innate
Plasmacytoiddendriticcell	IGF1	Innate
Plasmacytoiddendriticcell	ITGA2B	Innate
Plasmacytoiddendriticcell	GABARAP	Innate
Plasmacytoiddendriticcell	GPX1	Innate
Plasmacytoiddendriticcell	KRT23	Innate
Plasmacytoiddendriticcell	PROK2	Innate
Plasmacytoiddendriticcell	RALB	Innate
Plasmacytoiddendriticcell	RETNLB	Innate
Plasmacytoiddendriticcell	RNF141	Innate
Plasmacytoiddendriticcell	SEC14L1	Innate
Plasmacytoiddendriticcell	SEPX1	Innate
Plasmacytoiddendriticcell	EMP3	Innate
Plasmacytoiddendriticcell	CD300LF	Innate
Plasmacytoiddendriticcell	ABTB1	Innate
Plasmacytoiddendriticcell	KLHL21	Innate
Plasmacytoiddendriticcell	PHRF1	Innate
