Ependymal	Oligodendrocyte	Microglia	CA1Pyramidal	Interneuron	Endothelial	S1Pyramidal	Astrocyte	Mural
Dmkn	Elovl6	Emr1	Fras1	Gm5796	Hba-a2_loc1	Gucy2g	Lrig1	Tmem231
Dmpk	Eml1	Epsti1	Ftx	Gm9962	Hba-a2_loc2	Hbq1a	Lrp10	Tnxb
Dnaaf1	En2	Ethe1	Gabbr1	Gnas	Hbb-bs	Hbq1b	Lrp4	Tpm1
Dnah10	Endod1	Evi2b	Gabra5	Gng4	Heg1	Hkdc1	Lrrc16a	Tpm2
Dnah11	Enoph1	F13a1	Gal3st3	Gnl1	Hilpda	Hs3st2	Lrrc2	Trabd2b
Dnah1	Enpp4	Fau	Galnt16	Gnl3l	Hipk3	Htr1f	Lrrc8a	Traf3ip2
Dnah2	Enpp6	Fbxw4	Galnt3	Got2	Hist4h4	Htr2a	Lsamp	Tshr
Dnah5	Epb4.1l3	Fcer1g	Gapdh	Gpr123	Hmbox1	Igsf21	Luzp2	Uba2
Dnah6	Epn2	Fcgr1	Garem	Gpr176	Hmcn1	Igsf9	Lxn	Vstm4
Dnah7a	Erbb3	Fcgr2b	Gm10649	Gpr3	Hmgcs2	Il12a	Mapkapk3	Whrn
Dnah7b	Erf	Fcgr3	Gm10664	Gria4	Hspa12b	Il1rapl1	March2	Wnt5b
Dnah9	Ermn	Fcna	Gm10754	Grik1	Icam2	Il1rapl2	Mfap3l	Wtip
Dnaic1	Ermp1	Fcrls	Gm12070	Grik2	Ier5l	Ildr2	Mmgt2	Zak
Dnaic2	Fads6	Fermt3	Gm13315	Grip1	Ifit1	Ipcef1	Mpv17l2	Zbtb10
Dnaja4	Fah	Fgd2	Gm15706	Grpr	Ifnar1	Islr2	Muc1	Zc2hc1a
Dnajc3	Fam102a	Fmo5	Gm1653	Hdac6	Igf1r	Josd1	Nadk2	Znf41-ps
Dnali1	Fam122b	Fndc3a	Gm20754	Hdac9	Igfbp3	Kazald1	Nat6	
Dnmbp	Fam173b	Fnip2	Gm21949	Hdgfrp3	Iigp1	Kcnh1	Nat8	
Dpcd	Fam178b_loc2	Folr2	Gm3086	Hexim2	Il1r1	Kcnh4	Ncan	
Drc1	Fam222a	Frrs1	Gm3696	Hmga1-rs1	Il2rg	Kcnh5	Nckap5	
Dsg2	Fam57a	Ftl1	Gm4926	Hmgb3	Inpp1	Kcnh7	Nim1	
Dusp18	Fam83d	G530011O06Rik	Gm5512_loc2	Hmgcll1	Insr	Kcnj11	Nphs1	
Dync2li1	Fbxo32	Galnt12	Gm996	Hrh2	Irf9	Kcnj9	Ntsr2	
Dynlrb2	Fbxo7	Gdf15	Gnaq	Htr2c	Isyna1	Kcnk4	Oat	
Dyx1c1	Fdps	Gdpd3	Gpd2	Htr3a	Itm2a	Kcns1	Pag1	
E230008N13Rik	Fez1	Gins2	Gpr151	Htr5a	Itpr3	Kcnt1	Paqr7	
E530011L22Rik	Fgd3	Gm10336	Gpr161	Iglon5	Itprip	Kcnt2	Paqr8	
Efcab10	Fhdc1	Gm13139_loc1	Gpr25	Igsf10	Kank3	Kifc2	Pcdhgc3	
Efcab1	Fign	Gm13139_loc2	Gpr39	Igsf3	Kank4	Klhdc8a	Pced1b	
Efcab2	Fmnl2	Gm13476	Gpr45	Impact	Kcne3	Klhl1	Pdgfrl	
Efcab7	Fnbp1	Gm14548	Gpr63	Inadl_loc1	Kcnq1	Klhl40	Peli2	
Efhc1	Fnta	Gm20605	Gpr64	Isoc1	Kcp	Krt12	Pgm2	
Eid3	Foxn2	Gm2382	Grasp	Itga3	Kctd10	Krt222	Polr3h	
Elmod3	Frmd8	Gm5086	Grem1	Kcna3	Kdr	Lars2	Ppp1r14b	
Elof1	Fth1	Gm6377	Grid1	Kcnc1	Kif23	LOC100861978_loc3	Ppp1r3d	
Emb	Gal3st1	Gm8615	Grin2a	Kcnd3	Kif26a	LOC100861978_loc4	Ppp1r3g	
Enkur	Galnt6	Gmfg	Grina	Kcnh2	Kif5b	Lpcat4	Prdx6b	
Eno4	Gamt	Gnpda1	Gse1	Kcnip1	Kitl	Lrrk2	Prkd1	
Eppk1	Ghdc	Gns	Gstm6	Kcnmb2	Klf11	Lsm11	Proca1	
Erich2	Gjb1	Gp49a	H2-DMa	Kctd6	Klf3	Ly6g6e	Ptplb	
Etfa	Gjc2	Gpr160	Has3	Kctd8	Klhl5	Mapk11	Rab34	
Ext1	Gjc3	Gpr183	Hectd2	Klhdc2	Lamb1	Mapk12	Ranbp3l	
Fam126a	Glod4	Gpr34	Hs6st3	Klhl29	Lats2	Mat2b	Rasa2	
Fam154b	Gm10373	Gpr65	Htr4	Klhl32	Layn	Mctp1	Rb1	
Fam160a1	Gm10863	Gpx3	Htr5b	Krt73	Lef1	Medag	Rbm20	
Fam179a	Gm12530	Grn	Hunk	Lancl3	Lmbr1l	Mef2c	Rcn2	
Fam183b	Gm13363	H2-Aa	Ido2	Ldoc1	Lnx2	Mgat4c	Relt	
Fam216b	Gm16515	H2-Q10	Ifngr2	Lhfpl3	Lrch1	Mgst3	Rgma	
Fam221a	Gm9895	H2-Q2	Igbp1b	Lhfpl5	Lrrc8c	Mir218-1	Rgs20	
Fam227a	Gna12	Havcr2	Insl5	Lig1	Ltbp4	Myh3	Rlbp1	
Fam71a	Gng7	Hck	Irak1bp1	Limk1	Luzp1	Myl4	Rnf180	
Fam78a	Gng8	Hcls1	Itgbl1	Lrp12	Ly6c1	Myrip	Rom1	
Fam84b	Golga7	Hexa	Jph1	Lypd6	Ly6c2	Necab3	Scara3	
Fank1	Gpd1	Hexb	Jph4	Lysmd4	Ly6f	Negr1	Sdsl	
Fbln7	Gpr155	Hist1h2ae	Kbtbd11	Maged2	Ly75	Neu2	Sesn3	
Fbxo10	Gpr37	Hist1h3i	Kcna4	Magee1	Macf1	Nkiras1	Skida1	
Fbxo16	Gpr62	Hist2h2bb	Kcnb2	Magi1	Man2a1	Nkx3-1	Slc12a9	
Fgd4	Grb14	Hk2	Kcng2	Map3k9	Maoa	Nme1	Slc13a3	
Fhad1	Grhpr	Hk3	Kcnq3	Map7d2	Map3k3	Nmnat3	Slc18b1	
Fhl1	Gsn	Hmha1	Klf16	Mapk8	Map4k2	Npnt	Slc1a4	
Fhl3	Gss	Hmox1	Klhl22	Mapk9	Megf6	Ntn5	Slc25a20	
Fibin	Gstp1	Hpgd	Klhl3	March9	Mfsd7c	Ntsr1	Slc25a33	
Flnc	Gyg	Hpgds	Klk7	Mcf2	Midn	Numb	Slc26a6	
Fndc1	Haus3	Hps3	Krt2	Mgat5b	Mill2	Nxph3	Slc27a1	
Foxj1	Haus5	Hvcn1	Krt79	Micu3	Mknk2	Ocm	Slc30a10	
Gadd45g	Hcn2	Ier5	Ksr1	Mid2	Mmrn2	Opn3	Slc36a2	
Galk2	Hint3	Ifi202b	Lct	Mme	Mospd1	Oprk1	Slc46a1	
Gas8	Hip1r	Ifi203	Lenep	Mrap2	Mxd4	Osbp2	Slc6a11	
Gchfr	Hipk2	Ifi204	Lmo1	Mum1l1	Myct1	Osbpl1a	Slc7a11	
Gdf11	Hist1h2be	Ifi27l2a	Lmo7	Myh13	Myl12b	Otud3	Slitrk2	
Gkap1	Hist1h2bh	Igsf6	Lor	Myo16	N4bp3	Ovol2	Snord42b	
Glb1l2	Hist1h2bn	Ikzf1	Lphn3	Myo3b	Nampt	Pacs1	Snta1	
Gm10941	Hmgcs1	Il10ra	Lrfn2	Mypop	Nasp	Pak1	Spire1	
Gm11837	Hn1l	Il16	Lrrc73	Nalcn	Nebl	Pak7	Spry2	
Gm11992	Hs3st1	Il18bp	Lrrc7	Nap1l3	Nmi	Pcdh7	Spry4	
Gm14378	Hsd17b10	Il1a	Lrrn2	Nap1l5	Nomo1	Pcdhac1	Src	
Gm14446	Hsd17b12	Il1b	Lrrn4	Neb	Nostrin	Pcp4	Stard6	
Gm15645	Hsd17b7	Il4ra	Lypd1	Necab1	Noxo1	Pcsk5	Sycp2	
Gm16119	Ick	Inpp5d	Lzts3	Necab2	Oasl2	Pde1b	Tfcp2l1	
Gm166	Il12rb1	Irak4	Mageb16	Neto1	Pabpc1	Pde8b	Thbs4	
Gm17455	Il1rap	Irf5	Mageb16-ps1	Ngf	Palmd	Pdzrn3	Tm7sf2	
Gm19522	Il23a	Irf8	Magee2	Nkrf	Pcdh12	Pfkp	Tmem129	
Gm216	Ilvbl	Itgam	Map4	Nnmt	Pcdh1	Pi4ka	Tmem136	
Gm4013	Itgad	Itgb2	March3	Npas1	Pecam1	Pip5k1c	Tmem218	
Gm5617	Josd2	Itsn1	Mast3	Npy	Pelo	Plk5	Tmie	
Gm5918	Kat2b	Jmjd1c	Matk	Nrip3	Pggt1b	Pnma1	Tprkb	
Gm7694	Kcna1	Kdm2b	Matn2	Nrtn	Pglyrp1	Pou6f1	Trps1	
Gm872	Kctd13	Khk	Mc4r	Nudt11	Pgm1	Pou6f2	Ttyh1	
Gm973	Kif13a	Lair1	Mchr1	Nxph1	Pgm5	Pparg	Txndc5	
Gm9839	Kif13b	Laptm5	Meg3	Obsl1	Piezo2	Ppm1l	Ubiad1	
Gnai3	Kif19a	Lat2	Megf11	Optn	Pik3r6	Prdm8	Ugp2	
Gpr98	Klhl2	Lcp1	Megf9	Osbpl8	Pir	Prkacb	Usp43	
Gramd1c	Klk6	Lcp2	Mei4	Oxr1	Pkd2	Prkg2	Usp51	
Gstt1	Kndc1	Leprel1	Miat	Oxtr	Pkn3	Prrt2	Utp14b	
H2afv	Krcc1	Lgmn	Mical2	Pafah1b3	Plp2	Prrt3	Wasf3	
Hdc	Lcorl	Lilra5	Mir22hg	Pam	Podxl	Psmb10	Xpr1	
Hipk1	Lgi3	Lilrb4	Mkl1	Panx1	Polk	Ptprk	Zdhhc18	
Hist1h1d	Limch1	Lpxn	Mpp6	Pappa	Poll	R3hdm2	Zfp219	
Hist1h4b	Lmf1	Lrmp	Msra	Parm1	Ppfibp1	Rangap1	Zfp687	
Hist1h4j	Lsm5	Lrp6	Mst1r	Pcdha6	Pqlc1	Rap1gap2	Zmpste24	
Hist1h4n_loc1	Lss	Lst1	Mtus2	Pcdhb13	Prkd2	Rasgef1c	Znrf3	
Hist2h3c2	Ly6g6f	Ly86	Myh7	Pcdhb3	Prnd	Rprm		
Hmga2	Lzts2	Ly96	Naa38	Pclo	Prom1	Rps6ka3		
Hmgn1	Mag	Lyl1	Napg	Pdxk	Proser2	Rragd		
Hrasls	Malat1	Lyve1	Nat14	Pebp1	Psme2b	Rspo1		
Hsp90aa1	Mal	Lyz1	Nbea	Peg13	Ptpn12	Rtl1		
Hspa2	Map6d1	Lyz2	Nckap1	Peg3	Ptprb	Rxfp2		
Hspb6	Map7	Maf	Ncoa7	Peg3os	Ptprr	Samd12		
Htr1b	Mapk3	Maml1	Ndst3	Pip5kl1	Pvr	Scn4b		
Hydin	March8	Man1c1	Ndst4	Pitpnm1	Rai14	Scube1		
Iffo2	Masp1	Man2b1	Nedd4l	Plekhb2	Ramp2	Sdk2		
Ifit3	Mbp	Map3k14	Nlgn1	Plekhd1	Rapgef4	Sec16b		
Igf2	Micall1	Mapkapk2	Nos1ap	Plxna3	Rasip1	Sema3a		
Il17rc	Mir1897	Marcks	Nos1	Pm20d2	Rbl1	Sema5b		
Intu	Mobp	Masp2	Npas2	Pnoc	Reck	Shf		
Iqca	Mog	Mb21d1	Npbwr1	Podxl2	Rgl2	Skap1		
Iqcd	Mon2	Mbnl1	Npdc1	Polr2m	Rhbdl2	Slc16a11		
Iqcg	Mpc1	Mcfd2	Nphp4	Pomgnt2	Rims1_loc2	Slc24a2		
Iqck	Mpp5	Mettl20	Npr3	Ppif	Rnf125	Slco4c1		
Iqub	Mpst	Mfsd1	Nr4a2	Ppm1h	Robo4	Slit2		
Irak3	Mtm1	Mgl2	Nrip1	Ppp1r26	Rpl11	Sox5		
Jund	Mtmr10	Milr1	Nsun7	Ppp1r2	Rpl23	Srpx2		
Katnal2	Mvk	Mir1903	Ntn3	Prmt2	Rpl27	Sstr2		
Kif26b	Myrf	Mir692-1	Ntng1	Prrt4	Rpl38	St3gal5		
Kif27	Nacad	Mki67	Ogfod1	Ptger2	Rpl41	Stard10		
Kif6	Nek3	Mknk1	Onecut2	Pthlh	Rpl9	Stat4		
Kif9	Nfasc	Mlxipl	Orai2	Ptpn20	Rps18	Strbp		
Kl	Nfe2l3	Mnda	Osbpl6	Ptpro	Rps19	Stx1a		
Klhdc9	Ninj2	Mocos	Otub2	Pttg1	Rps26	Sult2b1		
Klkb1	Nipa1	Mpeg1	Palm3	Purb	Rps6	Tbr1		
Kremen1	Nipal4	Mpp1	Pcdh19	Pvrl4	Rrp8	Tcap		
Krt15	Nipsnap3b	Mrc1	Pcdhb7	Rab3b	Sbno2	Tex40		
Lama3	Nkain1	Ms4a6b	Pck2	Rab6a	Scarb1	Tiam2		
Laptm4a	Nkain2	Ms4a6c	Pde10a	Racgap1	Scarf1	Tle4		
Lbp	Nkx2-2os	Ms4a6d	Pfn2	Rassf5	Scube2	Tmem132a		
Lca5	Nkx6-2	Ms4a7	Pianp	Rbp4	Sema7a	Tmem132d		
Lect1	Nmral1	Msr1	Pip4k2c	Reln	Serpinb9	Tmem178		
Lgals3	Npsr1	Mtr	Pip5k1a	Resp18	Sgms1	Tmem215		
Lrguk	Nrbp2	Myo1f	Pkp2	Rhbdl1	Sgpp2	Tmem40		
Lrrc23	Nt5e	Nagpa	Pla2g4b	Rhov	Sh2d3c	Tmem74b		
Lrrc43	Nudt1	Ncf1	Plch2	Rimklb	Sh3d21	Tnnc1		
Lrrc46	Olig1	Ncf2	Plcz1	Rnf14	Sh3glb1	Tpbg		
Lrrc48	Omg	Ncf4	Plxna1	Rpp25	She	Trhde		
Lrrc51	Opalin	Nckap1l	Plxnc1	Rprl3	Shroom1	Trhr		
Lrrc6	Otud7b	Ncoa3	Pnmal1	Rps6ka6	Sigirr	Tsnax		
Lrrc71	P4hb	Ndst2	Pole4	Rufy3	Sipa1l2	Tspan11		
Lrrc9	Pacs2	Nfam1	Pou3f1	Rxfp1	Slc16a1	Ttl		
Lrriq1	Papss1	Nfatc2	Ppapdc2	Rxfp3	Slc22a8	Txnrd2		
