Ependymal	Oligodendrocyte	Microglia	CA1Pyramidal	Interneuron	Endothelial	S1Pyramidal	Astrocyte	Mural
Ruvbl2	Slc5a11	Slc38a6	Tmem8b					
S100a6	Slco3a1	Slc7a7	Tnfrsf25					
Scn7a	Slpi	Slc9a9	Tnr					
Sctr	Smad7	Slfn2	Traip					
Sec24d	Smco3	Snord17	Trank1					
Sema3b	Snx15	Snx2	Trio					
Serinc2	Specc1	Snx5	Ttc19					
Serpinb1b	Speer7-ps1	Sp110	Tubb2a-ps2					
Sfrp1	Spg20	Spi1	Tub					
Ski	Sptlc1	Spidr	Uhrf1bp1l					
Slc16a12	Srd5a1	Srgap2	Unc13b					
Slc22a4	Srpk3	Ssh2	Unc79					
Slc26a2	St18	Stab1	Usp27x					
Slc26a3	Stmn4	Stag3	Usp46					
Slc29a4	Strn	Stk3	Wasl					
Slc2a12	Stxbp3b	Susd1	Wbscr17					
Slc39a13	Suv420h2	Susd3	Wfs1					
Slc43a3	Taf13	Syk	Wipf3					
Smad5	Taldo1	Tagap1	Wscd2					
Smim5	Tceanc	Tagap	Xkr4					
Smoc1	Tesk2	Tbxas1	Ydjc					
Snrpa	Tfeb	Tfec	Ypel1					
Socs1	Thbs3	Tgfbi	Ywhaz					
Sord	Tjap1	Tgfbr1	Zc3h12b					
Sostdc1	Tll2	Tln2	Zcchc16					
Sp7	Tm7sf3	Tlr13	Zfp189					
Spa17	Tmcc2	Tlr2	Zfp251					
Spag17	Tmcc3	Tlr7	Zfp462					
Spag6	Tmeff1	Tmco4	Zfp667					
Spag8	Tmeff2	Tmem106a	Zfp831					
Spata17	Tmem117	Tmem119	Zfp92					
Spata24	Tmem125	Tmem86a	Zranb3					
Spata33	Tmem141	Tmem8	Zscan18					
Spata6	Tmem151a	Tnfaip8l2	Zswim5					
Spef1	Tmem159	Tnf	Zyg11b					
Spef2	Tmem189	Tnfrsf11a						
Spint2	Tmem254b_loc1	Tnfrsf1b						
Ssh1	Tmem254b_loc2	Tnfsf9						
St8sia2	Tmem254b_loc3	Trem2						
Stk30	Tmem81	Trim21						
Stk33	Tmem88b	Tslp						
Stk36	Tmprss5	Tubb6						
Stpg1	Tnfaip6	Tuft1						
Stxbp4	Tnni1	Twf1						
Styxl1	Tpd52	Tyms						
Sulf1	Tprn	Tyrobp						
Syne1_loc2	Tradd	Uap1l1						
Syt10	Trf	Ugt1a2						
Tango6	Trim13	Ugt1a7c						
Tbcel	Trim36	Unc93b1						
Tchh	Trim59	Vav1						
Tcp11l2	Tspan2	Vcan						
Tctex1d1	Tubb4a	Wdfy4						
Tctex1d4	Tulp4	Wfdc17						
Tctn2	Txndc16	Wsb1						
Tekt1	Txndc17	Wwp1						
Tekt4	Ugt8a	Xlr						
Tex9	Usp6nl	Zc3h12c						
Tgif2	Vangl2	Zfp110						
Tmem107	Vmp1	Zfp568						
Tmem108	Wfdc18	Zfp710						
Tmem216	Wfikkn2	Zswim6						
Tmem220	Wipi1							
Tmprss7	Wls							
Tob1	Wnk1							
Trim68	Wnt3							
Trp53i13	Wrap53							
Trp63	Yif1a							
Trpm3	Ypel2							
Tsga10	Ywhaq							
Tspan6	Zdhhc12							
Ttc12	Zdhhc20							
Ttc18	Zdhhc9							
Ttc25	Zfhx2os							
Ttc30a2	Zfp14							
Ttc30b	Zfp276							
Ttc34	Zfp488							
Ttc8	Zfp740							
Ttll13	Zscan29							
Ttll9								
Ttr								
Tubb4b								
Twist2								
Uba6								
Ubxn10								
Ubxn11								
Ucma								
Ung								
Upp1								
Urah								
Vit								
Vwa3a								
Wdr16								
Wdr31								
Wdr35								
Wdr52								
Wdr65								
Wdr78								
Wdr96								
Wdyhv1								
Wnt11								
Xpc								
Xylb								
Zc2hc1c								
Zcchc4								
Zfp185								
Zfp229								
Zfp395								
Zfp786								
Zmynd10								
